code, name,row,col
 H , Hydrogen,1,1
 He , Helium,1,19
 Li , Lithium,2,1
 Be , Beryllium,2,2
 B , Boron,2,14
 C , Carbon,2,15
 N , Nitrogen,2,16
 O , Oxygen,2,17
 F , Fluorine,2,18
 Ne , Neon,2,19
 Na , Sodium,3,1
 Mg , Magnesium,3,2
 Al , Aluminum,3,14
 Si , Silicon,3,15
 P , Phosphorus,3,16
 S , Sulfur,3,17
 Cl , Chlorine,3,18
 Ar , Argon,3,19
 K , Potassium,4,1
 Ca , Calcium,4,2
 Sc , Scandium,4,3
 Ti , Titanium,4,5
 V , Vanadium,4,6
 Cr , Chromium,4,7
 Mn , Manganese,4,8
 Fe , Iron,4,9
 Co , Cobalt,4,10
 Ni , Nickel,4,11
 Cu , Copper,4,12
 Zn , Zinc,4,13
 Ga , Gallium,4,14
 Ge , Germanium,4,15
 As , Arsenic,4,16
 Se , Selenium,4,17
 Br , Bromine,4,18
 Kr , Krypton,4,19
 Rb , Rubidium,5,1
 Sr , Strontium,5,2
 Y , Yttrium,5,3
 Zr , Zirconium,5,5
 Nb , Niobium,5,6
 Mo , Molybdenum,5,7
 Tc , Technetium,5,8
 Ru , Ruthenium,5,9
 Rh , Rhodium,5,10
 Pd , Palladium,5,11
 Ag , Silver,5,12
 Cd , Cadmium,5,13
 In , Indium,5,14
 Sn , Tin,5,15
 Sb , Antimony,5,16
 Te , Tellurium,5,17
 I , Iodine,5,18
 Xe , Xenon,5,19
 Cs , Cesium,6,1
 Ba , Barium,6,2
 La , Lanthanum,6,3
 Ce , Cerium,9,5
 Pr , Praseodymium,9,6
 Nd , Neodymium,9,7
 Pm , Promethium,9,8
 Sm , Samarium,9,9
 Eu , Europium,9,10
 Gd , Gadolinium,9,11
 Tb , Terbium,9,12
 Dy , Dysprosium,9,13
 Ho , Holmium,9,14
 Er , Erbium,9,15
 Tm , Thulium,9,16
 Yb , Ytterbium,9,17
 Lu , Lutetium,9,18
 Hf , Hafnium,6,5
 Ta , Tantalum,6,6
 W , Tungsten,6,7
 Re , Rhenium,6,8
 Os , Osmium,6,9
 Ir , Iridium,6,10
 Pt , Platinum,6,11
 Au , Gold,6,12
 Hg , Mercury,6,13
 Tl , Thallium,6,14
 Pb , Lead,6,15
 Bi , Bismuth,6,16
 Po , Polonium,6,17
 At , Astatine,6,18
 Rn , Radon,6,19
 Fr , Francium,7,1
 Ra , Radium,7,2
 Ac , Actinium,7,3
 Th , Thorium,10,5
 Pa , Protactinium,10,6
 U , Uranium,10,7
 Np , Neptunium,10,8
 Pu , Plutonium,10,9
 Am , Americium,10,10
 Cm , Curium,10,11
 Bk , Berkelium,10,12
 Cf , Californium,10,13
 Es , Einsteinium,10,14
 Fm , Fermium,10,15
 Md , Mendelevium,10,16
 No , Nobelium,10,17
 Lr , Lawrencium,10,18
 Rf , Rutherfordium,7,5
 Db , Dubnium,7,6
 Sg , Seaborgium,7,7
 Bh , Bohrium,7,8
 Hs , Hassium,7,9
 Mt , Meitnerium,7,10
 Ds , Darmstadtium,7,11
 Rg , Roentgenium,7,12
 Cn , Copernicium,7,13
 Nh , Nihonium,7,14
 Fl , Flerovium,7,15
 Mc , Moscovium,7,16
 Lv , Livermorium,7,17
 Ts , Tennessine,7,18
 Og , Oganesson,7,19
