group,name,Income,2024 score,2016,2017,2018,2019,2020,2021,2022,2023,2024,Since 2016
East Asia & Pacific,"Micronesia, Fed. Sts.",Lower middle,37.10333333333333,25.112500000000004,28.03458333333333,28.1975,27.90125,35.97708333333334,37.8225,36.53541666666666,36.50791666666666,37.10333333333333,11.990833333333327
East Asia & Pacific,Tuvalu,Upper middle,43.01666666666667,,,,,,,41.42250000000001,42.68875,43.01666666666667,
East Asia & Pacific,Marshall Islands,Upper middle,43.540416666666665,16.577500000000004,20.892083333333332,21.290416666666665,21.520416666666662,35.45958333333334,41.96666666666666,40.10666666666667,40.98166666666666,43.540416666666665,26.96291666666666
East Asia & Pacific,Papua New Guinea,Lower middle,43.6275,26.965416666666663,32.725,40.58500000000001,40.50625,44.442083333333336,46.47708333333333,44.04083333333333,44.24458333333333,43.6275,16.662083333333335
East Asia & Pacific,Nauru,High,47.93958333333334,,,,,,,41.44875,46.4825,47.93958333333334,
East Asia & Pacific,Kiribati,Lower middle,50.04166666666667,28.059583333333336,28.370000000000005,28.117500000000007,28.49750000000001,42.82208333333334,46.34583333333333,47.25166666666667,49.33791666666667,50.04166666666667,21.982083333333335
East Asia & Pacific,Solomon Islands,Lower middle,51.031666666666666,33.043333333333344,38.59625,44.43333333333334,41.32458333333333,43.63166666666667,50.33416666666667,50.4025,49.255,51.031666666666666,17.988333333333323
East Asia & Pacific,Vanuatu,Lower middle,53.44708333333333,38.14166666666667,40.50750000000001,39.499166666666675,42.68166666666667,41.95791666666667,50.63833333333333,52.03458333333333,52.935833333333335,53.44708333333333,15.305416666666659
East Asia & Pacific,China,Upper middle,57.92666666666667,53.63625,55.1675,56.03958333333333,59.555,57.477500000000006,58.64874999999999,55.86750000000001,58.84374999999999,57.92666666666667,4.2904166666666725
East Asia & Pacific,Timor-Leste,Lower middle,60.51666666666667,,48.83875,54.94833333333333,56.37875,55.93125,57.99375,60.42333333333334,61.80083333333334,60.51666666666667,
East Asia & Pacific,Lao PDR,Lower middle,60.84124999999999,41.508750000000006,45.507083333333334,48.38541666666667,53.28874999999999,56.68000000000001,60.34041666666668,58.662916666666675,60.89041666666667,60.84124999999999,19.332499999999982
East Asia & Pacific,Palau,High,60.954166666666666,,,,,53.63041666666667,55.41291666666667,51.69166666666667,55.06541666666668,60.954166666666666,
East Asia & Pacific,Brunei Darussalam,High,61.437499999999986,,,,,57.19333333333334,61.71500000000001,60.870000000000005,63.20625,61.437499999999986,
East Asia & Pacific,Samoa,Upper middle,62.82958333333334,53.17583333333333,58.58541666666667,58.90708333333333,55.387083333333344,59.5925,64.42375,64.02958333333333,64.78458333333333,62.82958333333334,9.65375000000001
East Asia & Pacific,Cambodia,Lower middle,63.013750000000016,53.78625,56.86291666666668,53.833333333333336,56.19583333333333,54.76375,60.221666666666664,60.59916666666666,61.64666666666666,63.013750000000016,9.227500000000013
East Asia & Pacific,Tonga,Upper middle,63.20333333333333,,,,,55.46083333333334,66.18375,63.55,64.05,63.20333333333333,
